 Time %,  cumulative seconds,  self seconds,    calls,  self ms/call,  total ms/call,  name    ,total time ms
8.14,0.5,0.07,1,70,90.54,  Label_Binary_Image,70
6.98,0.68,0.06,1,60,173.39,  Binary_Dilation,60
6.98,0.62,0.06,2,30,30,  BMP_Read_Color_Image,60
3.49,0.82,0.03,1,30,61.07,  Or_Gray_Images,30
3.49,0.79,0.03,2,15,15,  BMP_Write_Gray_Image,30
3.49,0.76,0.03,3,10,30.53,  Binarize_Gray_Image,30
1.16,0.86,0.01,1,10,10,  BMP_Write_Color_Image,10
5.81,0.73,0.05,7,7.14,7.14,  BMP_Create_Gray_Image,49.98
1.16,0.85,0.01,2,5,35,  Color_Image_to_Gray,10
22.09,0.19,0.19,234249700,0,0,  BMP_Read_Gray_Pixel,0
9.3,0.27,0.08,103980960,0,0,  BMP_Write_Gray_Pixel,0
9.3,0.35,0.08,51966720,0,0,  BMP_Read_Color_Pixel,0
9.3,0.43,0.08,0,0,0,     _init,0
6.98,0.56,0.06,13014556,0,0,  BMP_Write_Color_Pixel,0
1.16,0.83,0.01,12991680,0,0,  Read_Label,0
1.16,0.84,0.01,296827,0,0,  Update_Lookup,0
0,0.86,0,1187308,0,0,  Minimum_Label_Neighbor,0
0,0.86,0,1187308,0,0,  Update_Lookup_Neighbor,0
0,0.86,0,296827,0,0,  Label_Pixel,0
0,0.86,0,296827,0,0,  Minimum_Label,0
0,0.86,0,7,0,0,  BMP_Free_Gray_Image,0
0,0.86,0,3,0,0,  BMP_Free_Color_Image,0
0,0.86,0,1,0,99.89,  Add_Color_Images,0
0,0.86,0,1,0,0,  BMP_Create_Color_Image,0
0,0.86,0,1,0,213.67,  Binary_Closing,0
0,0.86,0,1,0,33.13,  Binary_Erosion,0
0,0.86,0,1,0,0,  Create_Label_Array,0
0,0.86,0,1,0,0,  Destroy_Label_Array,0
0,0.86,0,1,0,0,  Readjust_Lookup,0
